sample_id,day_id,contribution_id,old_contribution_id
CV21-SOUB-00005,SOUB-150,LAMA24,LAMA24-D
CV21-SOUB-00006,SOUB-151,LAMA24,LAMA24-E
CV22-NTHA-00001,NTHA-201,NORA24,NORA-G
CV22-NTHA-00002,NTHA-202,NORA24,NORA-H
CV22-NTHA-00003,NTHA-203,NORA24,NORA-C
CV22-NTHA-00004,NTHA-204,NORA24,NORA-G
CV22-NTHA-00005,NTHA-205,NORA24,NORA-H
CV22-NTHA-00006,NTHA-206,NORA24,NORA-H
CV22-NTHA-00007,NTHA-207,NORA24,NORA-G
CV22-NTHA-00008,NTHA-250,NORA24,NORA-B
CV22-NTHA-00009,NTHA-251,NORA24,NORA-A
CV22-NTHA-00010,NTHA-252,NORA24,NORA-C
CV22-NTHA-00011,NTHA-253,NORA24,NORA-D
CV22-NTHA-00012,NTHA-254,NORA24,NORA-H
CV22-NTHA-00014,NTHA-201,NORA24,NORA-K
CV22-NTHA-00015,NTHA-202,NORA24,NORA-K
CV22-NTHA-00016,NTHA-203,NORA24,NORA-K
CV22-NTHA-00017,NTHA-204,NORA24,NORA-L
CV22-NTHA-00018,NTHA-205,NORA24,NORA-M
CV22-NTHA-00019,NTHA-206,NORA24,NORA-L
CV22-NTHA-00020,NTHA-250,NORA24,NORA-N
CV22-NTHA-00021,NTHA-251,NORA24,NORA-J
CV22-NTHA-00022,NTHA-252,NORA24,NORA-N
CV22-NTHA-00023,NTHA-253,NORA24,NORA-N
CV22-NTHA-00024,NTHA-254,NORA24,NORA-J
CV22-NTHA-00025,NTHA-255,NORA24,NORA-J
CV22-NTHA-00026,NTHA-256,NORA24,NORA-I
CV22-NTHA-00027,NTHA-257,NORA24,NORA-I
CV22-NTHB-00005,NTHB-250,NORA24,NORA-B
CV22-NTHB-00006,NTHB-251,NORA24,NORA-A
CV22-NTHB-00008,NTHB-253,NORA24,NORA-C
CV22-NTHB-00009,NTHB-254,NORA24,NORA-B
CV22-NTHB-00010,NTHB-201,NORA24,NORA-L
CV22-NTHB-00011,NTHB-202,NORA24,NORA-K
CV22-NTHB-00012,NTHB-203,NORA24,NORA-K
CV22-NTHB-00013,NTHB-204,NORA24,NORA-K
CV22-NTHB-00015,NTHB-206,NORA24,NORA-M
CV22-NTHB-00016,NTHB-207,NORA24,NORA-M
CV22-NTHB-00017,NTHB-208,NORA24,NORA-M
CV22-NTHB-00018,NTHB-209,NORA24,NORA-L
CV22-NTHB-00019,NTHB-210,NORA24,NORA-M
CV22-NTHB-00020,NTHB-211,NORA24,NORA-M
CV22-NTHB-00022,NTHB-213,NORA24,NORA-L
